Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
67600,113,48,36,31,31,34
67700,114,48,37,31,31,34
67800,114,48,36,31,31,34
67900,114,48,37,31,32,34
68000,114,48,36,32,31,34
68100,115,48,37,31,32,35
68200,115,48,36,31,31,34
68300,126,48,36,31,32,34
68400,119,48,36,32,32,34
68500,116,48,36,32,32,34
68600,115,48,36,32,32,34
68700,115,48,37,32,32,34
68800,118,48,37,33,33,35
68900,116,48,37,33,32,35
69000,116,48,39,32,32,35
69100,117,49,37,32,32,35
69200,116,48,37,33,32,35
69300,117,48,38,32,32,35
69400,117,49,37,32,32,35
69500,117,48,39,34,32,35
69600,117,48,37,32,32,35
69700,117,49,37,32,32,35
69800,117,49,37,32,32,35
69900,118,49,37,32,32,35
70000,118,49,37,32,32,35
70100,118,49,37,32,32,35
70200,118,49,37,32,32,35
70300,118,49,37,32,33,36
70400,119,49,38,34,33,35
70500,119,49,37,33,33,36
70600,119,49,37,33,32,36
70700,119,49,37,33,33,36
70800,119,49,37,33,33,36
70900,119,49,37,33,33,36
71000,119,49,38,33,33,36
71100,120,49,37,33,33,36
71200,120,49,38,33,33,36
71300,121,49,38,33,33,36
71400,121,50,38,33,34,36
71500,120,50,38,33,33,36
71600,121,49,38,34,33,37
71700,122,49,38,33,33,36
71800,122,50,38,33,34,37
71900,121,50,38,34,33,37
72000,122,50,38,34,33,37
72100,123,50,38,33,33,37
72200,122,50,38,33,33,37
72300,122,55,38,33,33,37
72400,122,50,38,34,33,37
72500,122,50,38,33,33,37
72600,122,50,38,34,33,37
72700,122,50,38,34,34,37
72800,123,50,38,34,34,37
72900,123,50,38,34,34,37
73000,123,50,38,34,34,37
73100,124,50,38,34,34,37
73200,123,50,38,34,34,37
73300,124,50,38,34,34,38
73400,124,50,38,34,34,38
73500,124,50,38,34,34,38
73600,124,50,38,34,34,38
73700,124,50,39,34,34,38
73800,124,51,40,34,34,38
73900,125,50,39,34,34,38
74000,125,51,39,34,34,38
74100,126,52,40,35,34,38
74200,125,51,39,34,34,38
74300,126,51,39,35,35,39
74400,126,51,39,35,35,39
74500,126,51,39,35,35,39
74600,126,51,39,35,35,39
74700,126,51,39,35,35,39
74800,126,51,39,35,35,39
74900,126,51,40,35,35,40
75000,126,51,39,35,35,39
75100,127,51,39,35,35,39
75200,127,51,39,35,35,39
75300,127,51,39,35,35,39
75400,127,51,40,35,35,39
75500,127,51,40,35,35,39
75600,128,51,40,35,35,39
75700,128,51,40,35,35,40
75800,128,51,41,35,35,40
75900,129,51,40,35,35,40
76000,129,51,40,36,35,41
76100,130,52,40,36,35,41
76200,130,51,40,36,36,40
76300,129,52,40,36,36,40
76400,129,52,40,36,36,40
76500,129,52,40,36,36,40
76600,135,52,40,36,36,40
76700,129,52,40,36,36,40
76800,130,52,40,36,36,40
76900,130,56,40,36,36,40
77000,130,52,40,36,36,41
77100,130,52,40,36,36,40
77200,135,52,40,36,36,41
77300,130,52,40,36,36,41
77400,131,52,40,36,36,41
77500,131,52,40,36,36,41
77600,131,52,41,36,36,41
77700,131,53,41,36,36,43
77800,132,52,41,36,37,46
77900,132,52,41,36,36,41
78000,132,55,41,36,36,42
78100,132,52,41,36,36,41
78200,132,52,41,36,37,41
78300,132,52,41,36,37,41
78400,132,52,41,37,37,42
78500,133,52,41,37,37,42
78600,133,52,41,37,37,42
78700,133,52,41,37,37,42
78800,133,53,41,37,37,42
78900,133,53,41,37,37,42
79000,133,53,41,37,37,42
79100,134,53,41,37,37,42
79200,134,53,41,37,37,42
79300,134,53,41,37,37,42
79400,134,53,41,37,37,42
79500,134,53,41,37,37,42
79600,134,53,41,37,37,43
79700,134,53,41,37,37,43
79800,135,53,41,37,38,43
79900,135,53,42,37,37,43
80000,135,53,41,38,37,43
80100,135,53,42,37,37,43
80200,135,53,41,37,38,43
80300,136,53,42,37,40,43
80400,136,53,42,38,38,43
80500,136,53,42,38,38,44
80600,136,53,42,38,38,43
80700,136,53,42,38,38,44
80800,136,53,42,38,38,43
80900,137,53,42,38,38,43
81000,137,54,42,38,38,44
81100,138,54,42,38,38,43
81200,137,54,42,38,38,44
81300,137,54,42,38,38,44
81400,139,54,42,38,38,44
81500,139,57,42,38,38,44
81600,138,54,42,38,38,44
81700,138,54,42,38,38,44
81800,138,54,42,38,38,44
81900,138,54,42,38,38,44
82000,139,54,42,38,38,44
82100,139,54,43,39,38,44
82200,139,54,43,39,38,44
82300,143,55,43,39,39,45
82400,139,55,43,39,39,45
82500,139,55,43,39,39,45
82600,140,55,44,40,39,45
82700,139,55,44,39,39,45
82800,140,55,44,40,39,45
82900,140,56,44,40,39,45
83000,140,56,44,40,39,45
83100,140,56,44,40,39,45
83200,140,56,45,40,39,45
83300,140,56,45,40,39,45
83400,141,57,45,40,39,45
83500,141,57,45,41,40,46
83600,142,57,45,41,39,45
83700,143,57,46,41,39,46
83800,142,58,46,41,42,46
83900,141,57,46,41,39,46
84000,142,58,46,41,39,46
84100,142,58,46,41,40,46
84200,142,58,46,42,39,46
84300,142,58,47,42,40,46
84400,144,58,47,42,40,46
84500,143,58,47,42,40,46
84600,143,59,47,42,40,46
84700,143,59,47,42,40,46
84800,143,59,48,42,40,47
84900,144,59,48,43,40,47
85000,144,60,48,43,40,47
85100,144,60,49,43,40,47
85200,145,60,48,43,40,47
85300,144,60,48,43,40,47
85400,144,60,49,43,40,47
85500,145,60,50,43,40,47
85600,144,61,49,43,40,47
85700,145,61,49,43,40,47
85800,146,61,49,44,40,47
85900,145,61,50,44,41,47
86000,145,61,50,44,41,48
86100,146,61,50,44,40,48
86200,147,62,50,44,41,48
86300,145,62,50,44,41,48
86400,146,62,50,44,41,48
86500,146,62,51,44,41,48
86600,147,62,51,44,41,48
86700,147,62,51,44,41,48
86800,147,63,51,44,41,48
86900,147,63,52,45,42,50
87000,147,63,52,45,41,48
87100,147,63,52,44,41,52
87200,148,63,52,44,41,49
87300,147,64,53,45,41,49
87400,148,64,52,45,41,49
87500,149,64,53,45,41,49
87600,148,64,53,45,42,49
87700,149,64,53,45,41,50
87800,149,65,53,45,42,49
87900,150,65,53,45,42,50
88000,149,65,54,45,42,50
88100,149,65,54,45,42,49
88200,149,65,54,45,42,49
88300,149,65,54,45,42,49
88400,150,68,54,45,42,50
88500,150,66,54,45,42,50
88600,150,66,55,45,43,50
88700,153,66,55,45,42,50
88800,150,66,59,45,42,50
88900,150,67,55,45,42,50
89000,151,67,56,45,42,51
89100,151,67,56,48,42,50
89200,152,67,56,46,43,51
89300,152,68,57,46,43,50
89400,152,69,57,46,43,52
89500,151,69,56,46,44,52
89600,154,68,56,47,44,51
