Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
83000,141,56,44,37,35,30
83100,141,56,44,37,35,30
83200,141,57,44,37,35,30
83300,141,57,44,37,35,30
83400,142,57,45,38,35,30
83500,141,57,45,38,35,31
83600,144,58,45,38,36,30
83700,142,58,45,39,35,31
83800,143,58,46,38,35,30
83900,142,58,46,39,35,30
84000,142,58,46,39,35,31
84100,143,58,46,39,35,31
84200,143,58,46,39,35,31
84300,143,59,46,40,35,31
84400,143,59,47,40,35,31
84500,143,59,47,40,35,31
84600,143,59,47,40,35,31
84700,144,59,47,40,35,31
84800,144,64,47,41,36,31
84900,144,60,48,41,36,31
85000,145,60,48,42,36,31
85100,145,60,48,41,36,31
85200,145,60,48,41,36,31
85300,145,60,48,42,36,31
85400,145,61,48,42,36,31
85500,145,61,49,42,36,31
85600,145,61,49,42,36,31
85700,146,61,49,43,36,31
85800,146,61,49,43,36,31
85900,146,61,49,43,36,31
86000,146,62,50,43,36,31
86100,146,62,50,44,36,31
86200,146,62,50,43,36,31
86300,146,62,51,43,36,31
86400,147,62,50,43,36,31
86500,147,63,51,43,36,31
86600,147,63,51,43,36,31
86700,147,63,51,43,36,31
86800,147,63,51,44,36,32
86900,147,63,53,45,37,32
87000,148,64,52,47,36,32
87100,148,64,52,44,36,32
87200,148,64,52,44,37,32
87300,148,64,52,44,36,32
87400,149,64,52,44,36,32
87500,149,64,52,44,36,32
87600,149,65,53,44,37,32
87700,149,67,53,44,36,35
87800,150,65,53,44,36,32
87900,150,65,54,44,37,32
88000,150,65,54,44,37,32
88100,150,66,54,44,37,32
88200,153,66,54,44,37,32
88300,150,66,54,44,37,32
88400,150,66,54,44,39,32
88500,150,66,54,44,37,32
88600,151,67,55,44,37,33
88700,150,66,55,45,37,32
88800,152,67,57,44,40,32
88900,151,68,55,44,37,32
89000,151,67,55,45,37,32
89100,152,67,56,44,37,32
89200,155,68,56,45,38,33
89300,153,70,56,45,38,33
89400,156,68,58,45,37,33
89500,152,69,57,45,39,33
89600,156,69,57,46,38,32
89700,178,80,58,45,38,32
89800,153,69,59,46,38,33
89900,153,69,57,46,37,34
90000,153,70,59,48,39,35
90100,157,70,60,47,38,36
90200,158,72,60,48,38,33
90300,154,70,59,46,38,34
90400,164,72,59,46,38,34
90500,157,72,59,46,39,33
90600,158,71,58,46,39,35
90700,161,73,59,46,38,33
90800,157,72,59,46,39,35
90900,157,72,59,46,39,34
91000,159,73,59,45,39,35
91100,160,72,61,47,39,34
91200,161,75,61,47,41,36
91300,160,73,60,46,39,35
91400,159,72,58,47,39,34
91500,158,74,60,49,38,34
91600,162,74,59,45,38,36
91700,160,74,60,47,39,33
91800,168,75,60,47,39,34
91900,168,76,61,47,41,34
92000,160,73,59,46,39,34
92100,163,74,58,46,39,33
